,human_count,human_weight,human_panic,human_speed,Run,Total_steps
331,12,2.693359375,1.8798828125,1.853515625,331,12
332,42,2.314453125,1.8798828125,1.853515625,332,23
333,42,2.693359375,5.5712890625,1.853515625,333,19
334,42,2.693359375,1.8798828125,2.298828125,334,16
335,42,2.314453125,5.5712890625,2.298828125,335,18
336,12,2.693359375,5.5712890625,2.298828125,336,12
337,12,2.314453125,1.8798828125,2.298828125,337,10
338,12,2.314453125,5.5712890625,1.853515625,338,12
339,12,2.314453125,5.5712890625,2.298828125,339,10
340,34,1.943359375,1.0048828125,1.603515625,340,18
341,20,1.943359375,1.0048828125,1.603515625,341,14
342,34,2.564453125,1.0048828125,1.603515625,342,15
343,34,1.943359375,2.9462890625,1.603515625,343,15
344,34,1.943359375,1.0048828125,1.048828125,344,15
345,34,2.564453125,2.9462890625,1.048828125,345,14
346,20,1.943359375,2.9462890625,1.048828125,346,13
347,20,2.564453125,1.0048828125,1.048828125,347,11
348,20,2.564453125,2.9462890625,1.603515625,348,11
349,20,2.564453125,2.9462890625,1.048828125,349,12
350,69,2.943359375,4.5048828125,2.603515625,350,30
351,55,2.943359375,4.5048828125,2.603515625,351,25
352,69,1.564453125,4.5048828125,2.603515625,352,31
353,69,2.943359375,6.4462890625,2.603515625,353,32
354,69,2.943359375,4.5048828125,2.048828125,354,29
355,69,1.564453125,6.4462890625,2.048828125,355,31
356,55,2.943359375,6.4462890625,2.048828125,356,24
357,55,1.564453125,4.5048828125,2.048828125,357,23
358,55,1.564453125,6.4462890625,2.603515625,358,23
359,55,1.564453125,6.4462890625,2.048828125,359,23
360,51,1.443359375,2.7548828125,1.103515625,360,24
361,73,1.443359375,2.7548828125,1.103515625,361,31
362,51,1.064453125,2.7548828125,1.103515625,362,37
363,51,1.443359375,1.1962890625,1.103515625,363,24
364,51,1.443359375,2.7548828125,2.548828125,364,22
365,51,1.064453125,1.1962890625,2.548828125,365,39
366,73,1.443359375,1.1962890625,2.548828125,366,31
367,73,1.064453125,2.7548828125,2.548828125,367,53
368,73,1.064453125,1.1962890625,1.103515625,368,51
369,73,1.064453125,1.1962890625,2.548828125,369,56
370,16,2.443359375,6.2548828125,2.103515625,370,11
371,38,2.443359375,6.2548828125,2.103515625,371,17
372,16,2.064453125,6.2548828125,2.103515625,372,11
373,16,2.443359375,4.6962890625,2.103515625,373,11
374,16,2.443359375,6.2548828125,1.548828125,374,13
375,16,2.064453125,4.6962890625,1.548828125,375,10
376,38,2.443359375,4.6962890625,1.548828125,376,20
377,38,2.064453125,6.2548828125,1.548828125,377,17
378,38,2.064453125,4.6962890625,2.103515625,378,14
379,38,2.064453125,4.6962890625,1.548828125,379,19
380,14,1.380859375,0.3486328125,1.916015625,380,13
381,53,1.380859375,0.3486328125,1.916015625,381,23
382,14,1.501953125,0.3486328125,1.916015625,382,11
383,14,1.380859375,6.6650390625,1.916015625,383,11
384,14,1.380859375,0.3486328125,2.611328125,384,10
385,14,1.501953125,6.6650390625,2.611328125,385,10
386,53,1.380859375,6.6650390625,2.611328125,386,25
387,53,1.501953125,0.3486328125,2.611328125,387,19
388,53,1.501953125,6.6650390625,1.916015625,388,23
389,53,1.501953125,6.6650390625,2.611328125,389,22
390,49,2.380859375,3.8486328125,2.916015625,390,21
391,18,2.380859375,3.8486328125,2.916015625,391,11
392,49,2.501953125,3.8486328125,2.916015625,392,21
393,49,2.380859375,3.1650390625,2.916015625,393,24
394,49,2.380859375,3.8486328125,1.611328125,394,25
395,49,2.501953125,3.1650390625,1.611328125,395,21
396,18,2.380859375,3.1650390625,1.611328125,396,12
397,18,2.501953125,3.8486328125,1.611328125,397,11
398,18,2.501953125,3.1650390625,2.916015625,398,11
399,18,2.501953125,3.1650390625,1.611328125,399,13
400,25,1.193359375,3.6298828125,2.353515625,400,15
401,29,1.193359375,3.6298828125,2.353515625,401,17
402,25,2.814453125,3.6298828125,2.353515625,402,15
403,25,1.193359375,0.3212890625,2.353515625,403,15
404,25,1.193359375,3.6298828125,2.798828125,404,16
405,25,2.814453125,0.3212890625,2.798828125,405,14
406,29,1.193359375,0.3212890625,2.798828125,406,19
407,29,2.814453125,3.6298828125,2.798828125,407,13
408,29,2.814453125,0.3212890625,2.353515625,408,13
409,29,2.814453125,0.3212890625,2.798828125,409,13
410,60,2.193359375,0.1298828125,1.353515625,410,18
411,64,2.193359375,0.1298828125,1.353515625,411,26
412,60,1.814453125,0.1298828125,1.353515625,412,23
413,60,2.193359375,3.8212890625,1.353515625,413,27
414,60,2.193359375,0.1298828125,1.798828125,414,27
415,60,1.814453125,3.8212890625,1.798828125,415,25
416,64,2.193359375,3.8212890625,1.798828125,416,25
417,64,1.814453125,0.1298828125,1.798828125,417,24
418,64,1.814453125,3.8212890625,1.353515625,418,25
419,64,1.814453125,3.8212890625,1.798828125,419,27
420,77,1.693359375,5.3798828125,2.853515625,420,32
421,47,1.693359375,5.3798828125,2.853515625,421,20
422,77,1.314453125,5.3798828125,2.853515625,422,34
423,77,1.693359375,2.0712890625,2.853515625,423,27
424,77,1.693359375,5.3798828125,1.298828125,424,33
425,77,1.314453125,2.0712890625,1.298828125,425,32
426,47,1.693359375,2.0712890625,1.298828125,426,21
427,47,1.314453125,5.3798828125,1.298828125,427,24
428,47,1.314453125,2.0712890625,2.853515625,428,23
429,47,1.314453125,2.0712890625,1.298828125,429,22
430,42,2.693359375,1.8798828125,1.853515625,430,21
431,12,2.693359375,1.8798828125,1.853515625,431,14
432,42,2.314453125,1.8798828125,1.853515625,432,21
433,42,2.693359375,5.5712890625,1.853515625,433,20
434,42,2.693359375,1.8798828125,2.298828125,434,18
435,42,2.314453125,5.5712890625,2.298828125,435,16
436,12,2.693359375,5.5712890625,2.298828125,436,11
437,12,2.314453125,1.8798828125,2.298828125,437,10
438,12,2.314453125,5.5712890625,1.853515625,438,11
439,12,2.314453125,5.5712890625,2.298828125,439,12
440,34,1.943359375,1.0048828125,1.603515625,440,16
441,20,1.943359375,1.0048828125,1.603515625,441,15
442,34,2.564453125,1.0048828125,1.603515625,442,17
443,34,1.943359375,2.9462890625,1.603515625,443,16
444,34,1.943359375,1.0048828125,1.048828125,444,16
445,34,2.564453125,2.9462890625,1.048828125,445,16
446,20,1.943359375,2.9462890625,1.048828125,446,13
447,20,2.564453125,1.0048828125,1.048828125,447,12
448,20,2.564453125,2.9462890625,1.603515625,448,11
449,20,2.564453125,2.9462890625,1.048828125,449,15
450,69,2.943359375,4.5048828125,2.603515625,450,28
451,55,2.943359375,4.5048828125,2.603515625,451,24
452,69,1.564453125,4.5048828125,2.603515625,452,30
453,69,2.943359375,6.4462890625,2.603515625,453,29
454,69,2.943359375,4.5048828125,2.048828125,454,26
455,69,1.564453125,6.4462890625,2.048828125,455,31
456,55,2.943359375,6.4462890625,2.048828125,456,27
457,55,1.564453125,4.5048828125,2.048828125,457,22
458,55,1.564453125,6.4462890625,2.603515625,458,22
459,55,1.564453125,6.4462890625,2.048828125,459,23
460,51,1.443359375,2.7548828125,1.103515625,460,24
461,73,1.443359375,2.7548828125,1.103515625,461,29
462,51,1.064453125,2.7548828125,1.103515625,462,38
463,51,1.443359375,1.1962890625,1.103515625,463,19
464,51,1.443359375,2.7548828125,2.548828125,464,23
465,51,1.064453125,1.1962890625,2.548828125,465,40
466,73,1.443359375,1.1962890625,2.548828125,466,31
467,73,1.064453125,2.7548828125,2.548828125,467,52
468,73,1.064453125,1.1962890625,1.103515625,468,52
469,73,1.064453125,1.1962890625,2.548828125,469,53
470,16,2.443359375,6.2548828125,2.103515625,470,12
471,38,2.443359375,6.2548828125,2.103515625,471,16
472,16,2.064453125,6.2548828125,2.103515625,472,11
473,16,2.443359375,4.6962890625,2.103515625,473,12
474,16,2.443359375,6.2548828125,1.548828125,474,12
475,16,2.064453125,4.6962890625,1.548828125,475,14
476,38,2.443359375,4.6962890625,1.548828125,476,15
477,38,2.064453125,6.2548828125,1.548828125,477,18
478,38,2.064453125,4.6962890625,2.103515625,478,18
479,38,2.064453125,4.6962890625,1.548828125,479,18
480,14,1.380859375,0.3486328125,1.916015625,480,11
481,53,1.380859375,0.3486328125,1.916015625,481,20
482,14,1.501953125,0.3486328125,1.916015625,482,11
483,14,1.380859375,6.6650390625,1.916015625,483,10
484,14,1.380859375,0.3486328125,2.611328125,484,10
485,14,1.501953125,6.6650390625,2.611328125,485,11
486,53,1.380859375,6.6650390625,2.611328125,486,22
487,53,1.501953125,0.3486328125,2.611328125,487,25
488,53,1.501953125,6.6650390625,1.916015625,488,21
489,53,1.501953125,6.6650390625,2.611328125,489,22
490,49,2.380859375,3.8486328125,2.916015625,490,22
491,18,2.380859375,3.8486328125,2.916015625,491,11
492,49,2.501953125,3.8486328125,2.916015625,492,24
493,49,2.380859375,3.1650390625,2.916015625,493,22
494,49,2.380859375,3.8486328125,1.611328125,494,21
